Script|First_Line_Doc
------|---------------
46off.sql|No documentation found
46on.sql|No documentation found
53off.sql|alter session set events '10053 trace name context off';;
53on.sql|alter session set events '10053 trace name context forever, level 1';;
53trace.sql|No documentation found
a.sql|A-Script: Display CURRENT active sessions...
acc.sql|alter session set session_cached_cursors=&1;;
alog.sql|No documentation found
aon.sql|No documentation found
appinfo.sql|No documentation found
aq.sql|No documentation found
ar.sql|....and rownum <= &1
arg.sql|No documentation found
as.sql|A-Script: Display active sessions grouped by &1....
ascii.sql|No documentation found
asfp.sql|ALTER SESSION FORCE PARALLEL QUERY PARALLEL &1;;
ash.sql|No documentation found
asmdf.sql|No documentation found
asmdg.sql|No documentation found
asmdump.sql|No documentation found
asmdumpf.sql|No documentation found
asmls.sql|No documentation found
asql.sql|Display active sessions current SQLs
atname.sql|No documentation found
aud.sql|No documentation found
audo.sql|No documentation found
audo2.sql|No documentation found
aw.sql|What's going on right now?!
ba.sql|No documentation found
bclass.sql|Usage: @bclass <block_class#>
bf.sql|No documentation found
bg.sql|No documentation found
bg2.sql|No documentation found
bgact.sql|No documentation found
bh_by_ts.sql|No documentation found
bhcls.sql|Purpose:     Report which blocks are in buffer cache, protected by a cache
bhdo.sql|No documentation found
bhfp.sql|No documentation found
bhla.sql|Purpose:     Report which blocks are in buffer cache, protected by a cache
bhobjects.sql|No documentation found
bhobjects2.sql|No documentation found
bitmask.sql|No documentation found
break.sql|Purpose:     Display the PREV_SQL_ID of sessions if this query manages to
bufp.sql|No documentation found
bufprof.sql|Purpose:     Display buffer gets done by a session and their reason
bufprof_wrong.sql|No documentation found
c.sql|No documentation found
calc.sql|Purpose:     Basic calculator and dec/hex converter
cancel.sql|Purpose:     Generates commands for canceling selected sessions
cbo_helper.sql|No documentation found
cborun.sql|No documentation found
cbothis.sql|No documentation found
cc.sql|ALTER SESSION SET container = &1;;
ccr.sql|No documentation found
channels.sql|Purpose:     Report KSR channel message counts by channel endpoints
channels2.sql|Purpose:     Report KSR channel message counts by channel endpoints
channels3.sql|Purpose:     Report KSR channel message counts by channel endpoints
chr.sql|No documentation found
ci.sql|EXEC DBMS_SESSION.SET_IDENTIFIER('&1');
cid.sql|No documentation found
cinfo.sql|No documentation found
clt.sql|No documentation found
cnt.sql|No documentation found
cnta.sql|No documentation found
cntg.sql|No documentation found
cofef.sql|No documentation found
cofef_missing.sql|No documentation found
cofep.sql|No documentation found
col.sql|No documentation found
colltypes.sql|No documentation found
colusage.sql|Show column usage stats from sys.col_usage$ for table &1..&2....
comm.sql|Not listing tables without comments...
compileall.sql|No documentation found
cons.sql|No documentation found
cons2.sql|No documentation found
cont.sql|No documentation found
create_sql_baseline.sql|usage:
create_sql_baseline_awr.sql|usage:
create_sql_patch.sql|No documentation found
create_sql_profile.sql|No documentation found
cs.sql|alter session set current_schema=&1
cstat.sql|Purpose:     Execute SQL statement in script argument and report basic
csv.sql|No documentation found
curheaps.sql|Purpose:     Show main cursor data block heap sizes and their contents
curlog.sql|No documentation found
curschema.sql|No documentation found
d.sql|Show data dictionary views and x$ tables matching the expression "&1"...
d2.sql|Show data dictionary views and x$ tables matching the expression "&1" from ALL_TABLES...
date.sql|No documentation found
date2unix.sql|No documentation found
db.sql|No documentation found
dba.sql|Purpose:     Convert Data Block Address (a 6 byte hex number) to file#, block#
dba2.sql|Usage: @dba2 <file#> <block#>
dbinfo.sql|No documentation found
dblinks.sql|No documentation found
dc.sql|No documentation found
ddl.sql|Purpose:     Extracts DDL statements for specified objects
dec.sql|No documentation found
dep.sql|No documentation found
desc.sql|No documentation found
descpartxx.sql|No documentation found
descx.sql|prompt eXtended describe of &1
descx2.sql|No documentation found
descxx.sql|No documentation found
descxx11.sql|No documentation found
descxx2.sql|No documentation found
df.sql|PURPOSE:     Show Oracle tablespace free space in Unix df style
dfm.sql|PURPOSE:     Show Oracle tablespace free space in Unix df style
dg.sql|== v$database
diag.sql|No documentation found
diag_sid.sql|No documentation found
dir.sql|No documentation found
dirs.sql|No documentation found
disable_restricting_fks.sql|No documentation found
disco.sql|Purpose:     Generates commands for disconnecting selected sessions
dist.sql|select distinct &1 from &2;
distribution.sql|No documentation found
dnfs.sql|No documentation found
doid.sql|No documentation found
drop_sql_baseline.sql|No documentation found
drop_sql_patch.sql|No documentation found
drop_sql_profile.sql|No documentation found
dsv.sql|No documentation found
du.sql|No documentation found
du2.sql|No documentation found
dump.sql|prompt @dump <file#> <block#> <what regexp>
dumptrc.sql|No documentation found
dumpvar.sql|No documentation found
dv.sql|No documentation found
e2d.sql|No documentation found
ed.sql|No documentation found
el.sql|No documentation found
eme.sql|XDB / EM Express port:
eoff.sql|No documentation found
eon.sql|No documentation found
ep.sql|EXPLAIN PLAN FOR
eqs.sql|Display Enqueue Statistics from v$enqueue_statistics
equiv.sql|No documentation found
equivx.sql|No documentation found
es.sql|prompt Edit TPT script &SQLPATH/&1....
esn.sql|No documentation found
esnx.sql|No documentation found
et.sql|No documentation found
ev.sql|alter session set events '&1 trace name context forever, level &2';;
evh.sql|No documentation found
evi.sql|alter session set events 'immediate trace name &1 level &2';;
evo.sql|No documentation found
evts.sql|ORADEBUG EVENTDUMP system
expandlast.sql|No documentation found
extloc.sql|No documentation found
exttab.sql|No documentation found
f.sql|Purpose:     Search for Fixed view (V$ view) text
fcha.sql|Purpose:     Find in which heap (UGA, PGA or Shared Pool) a memory address resides
fcura.sql|No documentation found
fd.sql|.....from dual
fgran.sql|No documentation found
find.sql|PARAMETERS
fish.sql|No documentation found
fix.sql|No documentation found
ft.sql|No documentation found
fusage.sql|Did you flush feature usage information to the repository?
fv.sql|No documentation found
fv2.sql|Display Fixed SGA Variables matching &1
fva.sql|No documentation found
fval.sql|No documentation found
fval2.sql|No documentation found
get_trace.sql|No documentation found
get_trace2.sql|No documentation found
getplusparm.sql|Purpose:     get sqlplus parameter value (such linesize, pagesize, sqlcode,
getprev.sql|Purpose:     Get previously executed SQL ID, child number and other details into sqlplus variables for further use
gettracename.sql|No documentation found
glock.sql|No documentation found
grep.sql|No documentation found
grp.sql|count &1 in table &2....
grpa.sql|No documentation found
grpn.sql|Purpose:     Quick group by query for aggregating Numeric columns
grpo.sql|No documentation found
grps.sql|No documentation found
gsqlmon.sql|No documentation found
gss.sql|Gather Schema Statistics for schema &1....
gtrans.sql|Show global transactions from X$K2GTE2...
gts.sql|Gather Table Statistics for table &1....
gtsh.sql|Gather Table Statistics with histograms for table &1....
h.sql|No documentation found
h2s.sql|No documentation found
ha.sql|No documentation found
hash.sql|Purpose:     Show the hash value, SQL_ID and child number of previously
heap6.sql|No documentation found
help.sql|Purpose:     Help
hex.sql|No documentation found
hexop.sql|No documentation found
hg.sql|No documentation found
hint.sql|No documentation found
hintclass.sql|No documentation found
hintfeature.sql|No documentation found
hinth.sql|Purpose:     Display the areas / features in Oracle kernel that a hint affects
hist2.sql|No documentation found
hist_generic.sql|No documentation found
hof.sql|No documentation found
hoff.sql|No documentation found
